time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-09T05:51:36.520Z,31.185,-116.4256667,4.51,3.17,ml,14,244,0.5866,0.19,ci,ci38420064,2019-01-09T18:12:22.699Z,"61km SSE of Maneadero, B.C., MX",earthquake,0.5,0.93,0.18,111,reviewed,ci,ci
2019-01-09T05:23:13.940Z,56.157,-149.6502,10.3,2.9,ml,,,,0.8,ak,ak019eyyfo8,2019-01-09T19:11:47.408Z,"247km SE of Kodiak, Alaska",earthquake,,7.1,,,reviewed,ak,ak
2019-01-09T04:33:39.460Z,28.26,140.9518,175.54,4.7,mb,,112,1.593,1.01,us,us2000j1m2,2019-01-09T04:46:29.040Z,"180km NW of Chichi-shima, Japan",earthquake,9.4,9,0.089,38,reviewed,us,us
2019-01-09T03:14:04.620Z,19.4403,-65.825,54,2.57,md,8,322,1.2984,0.26,pr,pr2019009003,2019-01-09T08:33:45.532Z,"111km NNE of San Juan, Puerto Rico",earthquake,3.1,11.41,0.22,5,reviewed,pr,pr
2019-01-09T02:19:10.950Z,18.8218,-67.2916,15,2.6,md,13,272,0.3976,0.43,pr,pr2019009002,2019-01-09T04:51:11.216Z,"41km NNW of San Antonio, Puerto Rico",earthquake,1.64,2.76,0.4,12,reviewed,pr,pr
2019-01-09T02:06:45.720Z,36.9396667,-113.5286667,5.8,3.02,ml,21,176,0.1242,0.17,uu,uu60017014,2019-01-09T15:37:14.896Z,"18km SSE of Saint George, Utah",earthquake,0.59,0.91,0.185,10,reviewed,uu,uu
2019-01-09T01:46:08.230Z,36.9383333,-113.516,4.77,3.12,ml,13,137,0.1307,0.17,uu,uu60017009,2019-01-09T14:42:22.221Z,"18km SSE of Saint George, Utah",earthquake,0.66,1.39,0.082,8,reviewed,uu,uu
2019-01-09T01:45:58.560Z,36.9585,-113.519,8.37,2.63,ml,22,135,0.113,0.19,uu,uu60309232,2019-01-09T15:14:37.930Z,"16km SSE of Saint George, Utah",earthquake,0.43,0.66,0.197,4,reviewed,uu,uu
2019-01-09T01:23:21.780Z,51.3667,-178.3933,35,3.3,ml,,306,0.517,1.25,us,us2000j23r,2019-01-10T02:07:08.040Z,"51km ENE of Amatignak Island, Alaska",earthquake,2.8,2,,,reviewed,us,ak
2019-01-09T00:18:22.940Z,12.2675,144.0248,10,4.7,mb,,96,1.55,0.5,us,us2000j1kb,2019-01-09T00:36:44.040Z,"130km SSW of Merizo Village, Guam",earthquake,10.2,1.9,0.097,32,reviewed,us,us
2019-01-09T00:01:34.250Z,35.9595,138.7627,155.05,4.4,mb,,144,0.739,0.62,us,us2000j1kg,2019-01-09T01:27:38.885Z,"28km W of Chichibu, Japan",earthquake,7,4.2,0.1,29,reviewed,us,us
2019-01-08T23:18:17.020Z,5.2454,124.1467,491.55,4.3,mb,,97,2.305,0.85,us,us2000j1jy,2019-01-08T23:37:39.040Z,"96km SSW of Maitum, Philippines",earthquake,11.5,9.5,0.082,42,reviewed,us,us
2019-01-08T22:33:17.270Z,12.0691,143.7525,10,4.7,mb,,96,1.862,0.89,us,us2000j1jn,2019-01-08T22:58:41.040Z,"165km SW of Merizo Village, Guam",earthquake,7.9,1.9,0.108,26,reviewed,us,us
2019-01-08T22:32:54.470Z,-20.6382,-69.8381,34.5,4.3,mb,,94,0.329,0.5,us,us2000j1jg,2019-01-09T21:02:20.498Z,"56km SE of Iquique, Chile",earthquake,2.8,4.3,0.266,4,reviewed,us,us
2019-01-08T22:26:33.060Z,33.1981667,-90.9341667,16.35,3.7,mw,28,59,0.632,0.22,nm,nm60224502,2019-01-10T02:49:08.696Z,"9km NW of Hollandale, Mississippi",earthquake,0.25,0.68,,0,reviewed,nm,nm
2019-01-08T22:23:34.150Z,19.583,-65.1905,62,3.17,md,6,333,1.5842,0.37,pr,pr2019008016,2019-01-09T05:19:56.040Z,"132km NNE of Luquillo, Puerto Rico",earthquake,6.45,22.69,0.21,5,reviewed,pr,pr
2019-01-08T20:27:15.224Z,63.2562,-144.9393,0,2.8,ml,,,,0.96,ak,ak019dkd9js,2019-01-10T16:24:25.040Z,"64km S of Deltana, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-08T19:06:13.654Z,61.3507,-146.8762,18.3,2.5,ml,,,,0.75,ak,ak019djnbsv,2019-01-08T19:09:51.310Z,"37km NW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-08T18:55:40.050Z,18.5838,-66.3316,71,2.54,md,9,231,0.4844,0.16,pr,pr2019008015,2019-01-10T16:04:19.040Z,"6km NNW of Brenas, Puerto Rico",earthquake,1.52,1.46,0.16,7,reviewed,pr,pr
2019-01-08T17:59:05.950Z,-32.1188,-71.9771,23.2,4.3,mb,,117,0.724,0.86,us,us2000j1g3,2019-01-09T23:02:46.040Z,"79km WNW of La Ligua, Chile",earthquake,5,2.2,0.189,8,reviewed,us,us
2019-01-08T17:27:36.340Z,39.4419,72.4208,42.55,4.3,mb,,49,0.479,1.36,us,us2000j1fh,2019-01-09T18:41:10.040Z,"77km WSW of Sary-Tash, Kyrgyzstan",earthquake,4.8,7.4,0.109,27,reviewed,us,us
2019-01-08T15:45:45.800Z,53.8917,-163.9501,21.8,3.6,ml,,,,0.5,ak,ak019dhi0ks,2019-01-08T19:54:35.861Z,"112km SSW of False Pass, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2019-01-08T15:09:42.840Z,-8.0644,130.6689,31.07,4.7,mb,,87,0.629,0.99,us,us2000j1ec,2019-01-08T15:33:38.040Z,"72km W of Saumlaki, Indonesia",earthquake,6.9,7.3,0.159,12,reviewed,us,us
2019-01-08T14:49:02.120Z,-17.6635,-174.2322,10,5.2,mb,,57,4.322,1.07,us,us2000j1e2,2019-01-08T15:37:18.040Z,"112km NNW of Neiafu, Tonga",earthquake,9.1,1.8,0.075,59,reviewed,us,us
